marca;codigoInterno;nombre;categoria;descripcion;precio;stock
Black Panther;BP-2003;1-16 mm b18  - black panther bp-2003 ;Accesorios;;8.901,00;12
Black Panther;NO-39;ACOPLE EURO PARTE MACHO  - Black Panther NO-39 ;Accesorios;;2.261,00;1
Black Panther;354900013;ALAMBRE 0.6 MM/ ER70S-6/SG2 BOBINA 1 KG  - Black Panther 354900013 ;Consumibles;;11.552,00;2
Black Panther;BP-E71T-11/0801;Alambre Autoprotegido 0.8 mm /Bobina x 1Kg - Black Panther BP-E71T-11/0801 ;Consumibles;;12.180,00;5
Black Panther;BP-E71T-11/0905;Alambre Autoprotegido 0.9 mm - Bobina x 5 Kg  (PLW) - Black Panther BP-E71T-11/0905 ;Consumibles;Cod.ant: 354900005;53.091,00;64
Black Panther;BP-E71T-11/0805;Alambre Autoprotegido s/Gas 0.8 mm /Bobina x 5Kg - Black Panther BP-E71T-11/0805 ;Consumibles;;53.091,00;62
Black Panther;354900003;Alambre para soldar 0.6mm - Bobina x 5 Kg  - Black Panther 354900003 ;Consumibles;;48.135,00;4
Black Panther;BP-ER70S-6/0815;Alambre para Soldar 0.8 mm /ER70S-6 /SG2 - Bobina x 15 Kg  - Black Panther BP-ER70S-6/0815 ;Consumibles;Cod.ant: 354900002;70.220,00;30
Black Panther;BP-ER70S-6/0805;Alambre para Soldar 0.8 mm /ER70S-6 /SG2 - Bobina x 5 Kg  - Black Panther BP-ER70S-6/0805 ;Consumibles;Cod.ant: 354900004;28.318,00;126
Black Panther;BP-ER70S-6/0915;Alambre para Soldar 0.9 mm /ER70S-6 /SG2 - Bobina x 15 Kg  - Black Panther BP-ER70S-6/0915 ;Consumibles;Cod.ant: 354900001;66.348,00;7
Black Panther;BP-ER70S-6/0905;Alambre para Soldar 0.9 mm /ER70S-6 /SG2 - Bobina x 5 Kg  - Black Panther BP-ER70S-6/0905 ;Consumibles;Cod.ant: 354900008;28.318,00;245
Black Panther;BP-ER70S-6/1215;Alambre para Soldar 1.2 mm / ER70S-6/SG2 - Bobina x  15Kg  - Black Panther BP-ER70S-6/1215 ;Consumibles;COD.ANT: 354900012;60.477,00;3
Black Panther;BP-A1200L90;Allanadora - loncin g270f 9,0 hp - rotor 120 cm  - black panther bp-a1200l90 ;Construccion_Motoimplementos;"Motor: Loncin 270F
Potencia: 9,0 Hp
Diámetro de trabajo: 1170 mm
Tamaño de aspas: 450X150 mm
Ángulo de trabajo: 0-15º
Tanque de combustible: 5,3 L";1.604.618,00;1
Black Panther;BP-A900L65;ALLANADORA MOTOR LONCIN G200F 6.5HP  - Black Panther BP-A900L65 ;Accesorios;"Motor: Loncin 200F
Potencia: 6,5 Hp
Diámetro de trabajo: 910 mm
Tamaño de aspas: 350X150 mm
Ángulo de trabajo: 0-15º
Tanque de combustible: 3,6 L";1.391.001,00;1
Black Panther;BP-HBA115;Amoladora Angular Inalámbrica 115mm - Black Panther BP-HBA115 ;Herramientas electricas_Corte;"- No Incluye batería ni cargador
- Tensión: 20Vcc
- Tipo de Rosca: 14MM
- Velocidad en Vacío: 8000/MIN
- Sentido de rotación: DERECHA A IZQUIERDA
- Capacidad Nominal: 115MM
- 6 meses de garantía";133.803,00;74
Black Panther;BP-AB68375;Amoladora Combinada 6''8''-220v-375w-3450rpm  - Black Panther BP-AB68375 ;Herramientas electricas_Lijado y pulido;;92.402,00;1
Black Panther;BP-AB8550;Amoladora de banco 8'' -220v-550w-2950rpm  - black panther bp-ab8550 ;Herramientas electricas_Lijado y pulido;;122.955,00;10
Black Panther;BP-HBA115COMBO1;Amoladora inalámbrica Brushless 115mm + Batería 4AH y cargador - Black Panther HBA115COMBO1 ;Ofertas y Promociones;"- Medida de disco: 115mm (1 1/4'')
- Tensión: 20Vcc
- Velocidad: 0-8000/min
- Rotación de derecha a izquierda
- Arranque progresivo
- Incluye 1 batería 4ah
- Incluye: 1 cargador de 20v
- Rosca M14
- Mango ergonómico antideslizante
- 6 meses de garantía

Codigos de los productos: 
Amoladora(BP-HBA115)
Bateria(BP-HBBT4A)
Cargador(BP-HBCA2A)
";216.911,00;16
Black Panther;BP-AE1000I;Aparejo Electrico  Black Panther 500-1000KG - 220V 1600W c/Ctrol Inal Alcance 18 M ;Construccion_Aparejos;;651.157,00;4
Black Panther;BP-AE250;Aparejo eléctrico - De 125 a 250 Kg - 500 W  - Black Panther BP-AE250 ;Construccion_Aparejos;"Capacidad máxima de carga: 250 Kg
Motor: 500 w
Altura máxima: 12 mts
Velocidad de elevación sin polea de inversión (125 kg) 12 mts/ min.
Velocidad de elevación con polea de inversión (250 kg) 6 mts/ min.
Cable de 3.0 mm/ 12 mts de largo.
Con abrazaderas para anclaje
Comando a distancia con botón de parada de emergencia.
Sistema anti-reversa.";160.223,00;14
Black Panther;BP-AE500;Aparejo eléctrico - De 250 a 500 Kg - 900 W  - Black Panther BP-AE500 ;Construccion_Aparejos;"Capacidad máxima de carga: 500 Kg
Motor 900 W
Altura máxima: 12 mts
Velocidad de elevación sin polea de inversión (250 Kg) 12 mts/min
Velocidad de elevación con polea de inversión (500 Kg) 6 mts / min";227.317,00;28
Black Panther;BP-AE1000;Aparejo eléctrico - De 500 a 999 Kg - 1600 W  - Black Panther BP-AE1000 ;Construccion_Aparejos;"Capacidad máxima de carga: 1000 Kilos
Motor: 1600 W
Altura máxima: 12 MTS
Velocidad de elevación sin polea de inversión (500 Kg) 12 Mts/ Min.
Velocidad de elevación con polea de inversión (1000 KG) 6 Mts/ Min.";458.639,00;8
Black Panther;BP-AMC1030;Aparejo Manual Tipo Japones 1.0TN/ 3M - BP-AMC1030 ;Construccion_Aparejos;;89.843,00;29
Black Panther;BP-AMC2030;Aparejo Manual Tipo Japones 2.0TN/ 3M - BP-AMC2030 ;Construccion_Aparejos;;111.586,00;30
Black Panther;BP-AMC2050;Aparejo Manual Tipo Japones 2.0TN/ 5M - BP-AMC2050 ;Construccion_Aparejos;;149.375,00;10
